Username,Comment
@SarabjitSingh-up7ez,Has has ke pet dard ho gia 😂😂😂
@GAMINGWITHNKROY,arjit singh ki mom ;shirf gaaana gane se ghar nahi chalta
@XeonOx-dg2nt,Niceeeeeee
@adityapathe2968,Awesome video 😂 laughs a lot..
@achutanandchoudhary4473,Good job brother🎉❤
@sumitpatel6181,Arijit Singh of stand up comedy😂😂
@PRASANNAKUMAR-fl2ez,Ravi Rock
@zyxz122,way of presentation and story telling is really nice😄😄
@Rudranath2106,सर song kaha se sun sakte hai
@vinita6856,GBU JOURNALISTS WARRIORS 🙌 💓 💖
@rahulbharadwaj8090,"1st stand up comedian with no vulgarity, no jokes on audience, no double meaning jokes and most important no self laugh on his own words."
@chargin1954,بہت اچھے
@selfdevelopment1394,😂😂😂
@mohammedasif9763,Youtube pe video dalo ravi bhai
@Nippononeoneones-em9ew,Excellent! Brilliant Comic
@nishuyadav1429,I am totally enjoying this stand up comedy 😂😅😂
@aasavari4u,Too good yaar.😂😂😂😂 Specially 🐖wala joke.
@sanatani_hemant,😂😂❤
@letitbe8987,you look like Arijit Singh from Meesho
@JayPrakashPaswan-fb1tb,Mst❤
@nitinprajapati5137,Real talent
@nitinprajapati5137,Arjit singh comedy kyu kr rhe
@DeepaDavi-i3z,Hme vidio bhut gajab ki lagi
@SachinDolittle,❤❤❤❤❤❤❤😂😂😂
@vandanar79,Real comedian.... His talent is next level... Simple words but very hilarious
@nazimcomedy9500,🤣🤣🤣 woo great paaji 😂😂😂
@vsrocysahi,jabardast😂😂😂😂
@ranabegum8571,😂😂😂🤣🤣
@khajashaik8163,Nice
@Blitzbaba18,Bhai apki punjabi bilkul spanish lagti hai 💀
@ChristopherLopez-g8g,Harris Helen Jackson Cynthia Martinez Steven
@SudeepMahanta-mf2ry,0.35 😂
@razeshshrestha429,I’ve watched more than 10 times with same interest. You never fails to amaze us ✌️
@JagyeswarBhuyan,Pure comedy❤❤❤❤❤
@Binod2013,Best comedy 😂 ever 😂
@senpaisam07,Pritam + Arijit = him😂😂😂
@Xenith-q2i,perfect af
@niladrighosh9903,😂 woh atm card tha cha cha
@AhamadRahman-pe3sr,I love you yaarrrrr ❤❤❤ from Afghanistan
@amit2451,Amazing and still clean comedy...
@sayamabano5349,Maja aa gaya
@dangergamer-t3e,H8😅😅
@jasminebathnz3788,❤❤❤❤❤😂😂😂😂😂😂 so good 👌
@BilalAhmed-kl1sq,"❤ from 🇵🇰,"
@sshhiissh,bro is a combination of pankaj tripathi + Arshad warsi
@ritukatuteja,"Thoroughly enjoyed it. Clean comedy, true comedy💖"
@soumyasubhdeepray6860,11:00
@jatinbhardwaj434,Full on comedy
@Meowwmeoww010,Disappointed after Samay Raina Latent show ! Usme to kill krdya yaar! Wesi hi vibe chahiye bhai.
@hardcoregamer00100,bhai ye kya subtitle  daal diye english me 
@PrinceKumar-jh2br,Bro ek baar gorakhpur bhi show rakho na
@shubhrasingh8685,Kamal kar diya
@GurmanSidhu-s7h,Simply just love uu bro u r doing such a good work 😂😂😂
@Shiva.Shiva.49,Kya Banda Hai Yrr 😀😀
@sunilchristian3430,Nice!
@KutpilOuter,7:10 kaun kaun android se dekh rha hai 😂😂😂😂
@soumyasubhdeepray6860,5:35
@PiyushRaj-xy2rd,Oooop
@ZakirHussain-nd4fw,arijit singh😂
@SvetlanaPeasantry,Ye arjit singh kab se comedy karne laggaya
@jayshrigwalani9057,This video this level of comedy OMG kudos ❤
@Aafishlivetube,jwarjasti ki jalebi baie😅
@mathematician5609,I much u charge for 1 show ?
@KeshavMaheshwari,Not funny
@jiteshshrivastava1297,"I really miss this type of comedy😄
Really love you bro❤"
@miljhil,Very good
@arvindsharma7413,Awesome bro
@gouravsharmauk1753,seriously this is real comedy..
@IamS.S.I,🔴
@sainathmaru,Naya video lao bhai...
@Raktupal,He issss Bestttt!!!
@amit2451,King of comedy.
@HappyVillagerSRj34,I am watching 5th time 😍
@ilyasbeg820,"Please come to moradabad, 
Uttar Pradesh"
@SkAFAT-lb6tj,A1 video ❤
@sagar_goswami__,Roj nahana ki real bro 😂😆
@tanweermangi,Very witty... Remarkable and to the point delivery... Hilarious.
@IK7.,very random jokes but really funny
@aneyeopener556,"Bina gaali diye, such a clean comedy, thank you for bringing us such content."
@shahrozofficial3971,You made my day...😍😍😍
