Username,Comment
@Brahminlift,Aways seems relatable ❤😂😂😂😂😂
@littleAdamSeeker,First time stand-up comedy dekh. Wo bhi poora video 😂 Loved it
@Homealone.13,👍
@ajaybhushansharma3132,Wow. Big fan of your style Ravi bhai. Keep on spreading the joy❤
@umashankarmishra9629,Great job man
@kulwantsingh18007,Superb
@garimasingh1892,Good ....👍 Kisi ko puri Dil se chaho...to kaynaat ko ghanta phark nhi padta😂
@jjchaudhari3345,Good
@vipulaggarwal328,Boring
@varun886,Too good ❤
@harshita2485,Just felt like Arijit Singh doing standup😂😂😂
@rksoni8764,Awesome bro😂
@AdiSgoel,Ur looking like Arjit Singh
@MdTabishNawaz,I don't think anyone can top this 👏👏
@MohdShahwez-eo6iu,Bhai dinnn bannna gya 😂😂😂😂😂😂😂
@gamerscontakt1972,"Ek aur favourite list mein add ho Gaya Akash, Abhishek aur bassi ke baad😂"
@thenonvegkompany2424,Bhai Bhai Bhai kya content hai ... Has has k jaw dard kar Raha hai ....too good
@பிஸியானபயணி,Made in india  wala bohot sahi tha🤣😂
@praddyumnadurge9341,😂😂🙌🙌
@sourabhGR1,"First time watched your video , i must say clean comedy no abusive language , And you are master in taking pauses which is really important on stage comedy , superb"
@monikanchannath1390,Subscribe the channel yarro.... He deserves much more subscribers... Do subscribe the channel
@Sonbhadra-h9o,"Bhai main dekhne aaya tha ki 
Arijit singh comedy k😂 raha h😂"
@BadePapa007,gajab bhai....tumsa comedy or koi nhi kar sakta....bina gande baat kiye hue
@ashutoshtiwari4726,Very very good bhaiya ji
@shivapratap6846,Bhai ek number 😂
@shivamsoni5920,real comedian
@PoojaSharma-l9b,Superb
@manpreetrehal4011,Attitude 🤣🤣
@sohammittal40,❤
@harisaravlogs6976,Maza aagya sir 😂😂😂 very nice 👍
@manpreetrehal4011,😂🤣
@rharlalka,"very well made at perfect change of subject to keep the viewers engaged, and above all takes lot of effort to keep it clean to another level"
@krishkushwah4667,Best comedy video ❤
@pawansinghgond4250,Bhaisab kaha the aap abhi tak 😂😂😂😂😂
@Railways.employe,Kon kon Instagram se aya hai
@PKwarpol,This guy has inbuilt timing…..
@PKwarpol,He is real comedian 😂
@manoranjandixit4,❤
@AnnoyedTurntable-rx2lh,Kandi admi....make us happy at anu cost.....
@jyotiranjansahoo2196,Well done bro
@villainzz_trading,😂🤣😂🤣
@Divgo26,Baahoooooooooooot badhiya
@anamr7932,Every line is a punch line 😂
@varunrana682,Wholely fkk😂😂😂
@sajidanwar1519,I’m watching this in loop 🤣🤣
@devendrarajput5744,Bhai ap ka video bahut achha hota isme puchne ki kya baat hai
@BackBM-x9i,🎉🎉🎉
@anirudhkumar3712,Nice
@amitsuthar7877,property ka faisla hote hote reh gaya🤣
@prasannamoharana303,7:35 🤣🤣🤣🤣🤣
@civilizedindia9287,Guru bhaukal lgi gjb
@naikanant,Excellent 💯
@hariomshukla7055,mast
@prabinsingh4,Ye kiya babasir hai be ye to gajab hai
@Pratapyadav-wl8sf,Awesome ❤
@neerajlakhmani927,Boss you made me laugh after my sad time .
@tansensuthar7091,aapki hansi bahut bdia hai😂😂😂😂
@dollykanojiya436,❤😂😂😂😂😂
@sandeshbhattaraai1238,Great comedy..
@mk318020,Mind blowing comedy! 😂😂❤
@ashwanisingh689,"Bahut mast video hai bhai,, jabardast❤❤❤❤❤❤❤"
@bhoomikasharma4023,Best stand up ever man! Loved it!
@newton66,Agar tum kichi chij ki dil se chaho to puri ka inam ka ghanta nehi farak padte 😂😂😂😂Boss you always learn us realistic
@PrajyotPalande,Bhai Bahut Hard Bahut Hard 🤣🤣😂😂
@shaileshsalunke6385,Ending 😂😂😂😂😂😂😂
@jaidmohammad1258,12:30 ye hasney ki baat nahi hai
@VivekAwasthi_13041989,ULTIMATE
@spyden0769,😂😂
@anjananegi9467,maja aa gaya dekh kar... Hans hans ke pet main dard👌👌
@supriyachoudhary8646,😂 👍...
@jyotitamta-so9cu,pee kr bethe ho kya sbhi hasna bhi tha kya 😶
@Solidpunch2024,Loved ur show ❤❤❤...u have  a  completely different style and I m sorry that I m not in FB or Insta..May God give u what u really deserve
@Kuldeep-,18:50 😂😂😂😂
@STORMBREAKERVIBES,😂😂😂😂😂😂
@sangeetsargamsagar4639,Mute kakr evideo dekho Arijit Singh anzar aega...
@manishsaini-px7fs,Bessssstttttttttt stand up vdo ever 👌👌👌👌
@prabhatkumaretw,Excellent Work Bro 👌🤣
@angry__dp,"😂😂😂😂 majja aa gya 
Thanks for making these video😊"
@teenabijewar6238,Bhut sahi
@manishsinghal2020,Excellent
@nityas999,"I hardly watch stand up comedy,  but yiu made my day Gupta ji..itna hasi hu aaj ki haste haste aansu nikal gaye! Love from Singapore..🙏🏻🤗❤✨️"
@VineetDwivediChemistry,Bhai tu jabardast hai
@Moumita..Sarkar,Pehle yea batao share karne k liye kinte paise milenge.. tabhi karungi🤔
@raoshab8812,Mst video h bhai
@KishorKathane-m5s,❤
@Silencenight69,Bhai gazzab yaar 😂😂😂😂😂
@pocket_dimention6769,Abhishek bachchan + arijit singh =
@che6820,Standup comedian wo gali apne parents ko dete hai actually
@sohamrasal.6139,❤❤❤❤❤
@lovebirdbittu,"Outstanding. Watching your videos,  vlogs for last few months. You're the best in the business Gupta Ji. Keep rocking. God bless 😊"
@paranoidtraveller8957,Don't try to drink while watching this man. I couldn’t for 20 minutes but had to go to the bathroom. 😅
@kuldevbatra2584,Genuine comedy- Stress chala Gaya bhai..
@sarojkuanr81,Pura 2mahine ke bad 1ganta laughing dil khus wo bhi family ke sath.
@vishveshnayak9425,Bhai itna sidha sadha jokes ki hasi nahi aayi matlab Zinda nahi ho😂😂.
@neelambhandari7830,I love you sir.....too good .....best wishes🎉
@vijayraj7195,U r the one jiske show Family ke saath bhi enjoy kr sakte h
@abhijit12singh,Woow
@AnuragSinha-h6b,Bhai great fan of your..... Aapke bolne ka style bda mst lgta h ksm se😅😅😅😅
@riteshnets,Amazing Gupta ji ❤
@Anandrajbandhu,Maja aagya bhai😂😂
@SimranKaur-py3bz,"Incredible Comic Content .
Well done Ravi"
@SimranKaur-py3bz,"Regular watcher of your videos .
Amazing content. 
Clear speech ."
@sahillunia4671,🎉🎉🎉😂
@vishabd,Superb bro😂😂😂😂
@navinjaisi4319,U r legend man hatsofffff
@R0LEX01,Hasna tha kya ?
@mohammedmudassir4719,Too good bro...❤
@umiiumeshh,mazzee bandh diye bhaisahab👌🙌
@LucknowiMohit,❤❤
@cheekugj,You are SUPERB!!! Simply Superb!! So intelligent and so funny!!
@rajunaidu5397,It's super excellent comedy 👌👌👌👌👌👌
@SanjayKumar-dd3eo,U look like arijit singh ❤👌
@susantvlogs6821,🤣🤣🙌🏻 bhai saahab pet dard hogya 🤣🤣
@Nitish11298,Real Standup Comedy....kudos brother ❤
@nitinvegada649,Sir selute sir Best comedy.Jivan me pehli baar Aise pure commedy dekhi😂😂😂
@dyroyalmaratha3802,😂😂😂😂😝😝😝
@Highfive77719,I don't have words bro...way too good 😂😂😂
@gajanan2898,Bhagwan ho guruji aap me apka shishya bna chahunga😂
@fullscreenstatus9443,😂😂😂😂😂😂😂😂😂😂😂
@fullscreenstatus9443,Supppppppprrrrrrbbbbb
@suraj11468,Badiya 😊
@lobsangdhundup6734,Too good yaaaarrrr❤️😂
@shashibhushansharma7993,Arijit singh part2😂
@rohansng1,Awesome 😂
@VinodSingh-ge2cf,Kaha the dada bht din laga diye
@trendingvideos1632,Why he looks like Arijit Singh 😅
@abhijit8811,Mast Bhai.😂😂
@saumyajain3657,All your videos are really enjoyable 😊
@geetob1498,Awesome!!  Clean stand-up comedy. Love it.
@Khushi-kothar,Vidooo asi daalo ki control hi naa ho dekhee binaaa kisi😂😂😂
@Khushi-kothar,Bhyi ye to op level ki comedy h😂😅
@Vishnuoppp,Bhai ghobar ko ganja ke sath Mila ke dekhna chahiye tha fir pata chalta ke kal basiee Ferrari ban gayi 😂😂😂😂😂
@ajeetverma1063,Mai bhi reel dekh aaya
@smartnabi2731,"Ye comedy h ya bakchodi, comedy se hansi bhi nhi aayi"
@ιαςτιν,I'm a big fan ❤️  din mood sama maja sab bna dete ho yar tum 😂😂😂
@tasneembano602,Awesome👍👍👏👏👏👏👏👏👏👏👏👏👏👏👏
@kapilsinghrana3955,👍👍👍👍
@rupeshtaware487,Hamariii team maii kamm kuu nahi karteee.....maikii aphikee ke team maii huu.... too kammm kuu nahiii karteeee😂😂😂😂
@rupeshtaware487,Ajjjj mayakkk ka birthdayyyy haiiiiii😂😂
@ShaileshKarosiya,Aapke chakra m chlte chlte mai UK aagaya
@shindesuhas,"Bhai, tu Motha kitna ho gayaa"
@yugalkishor4481,Osm bhai kamaal ka hai apka show
@anujmalviya,Agent Tiger Rocks
@bhaurendrishivani5115,😂😂😂😂😂ap best ho
@MaysirMehmood,Bakwas
@swatiswaika1293,Good pure comedy
@shivmishra7433,Badhiya comedy. Wish ur debut on big screen soon
@ranjitthakur3507,Arijit bhai ye kis line me aa gye aap?😂
@sanjana3769,Ye video aap ke baar dekh le apko innocent face pr se vishwas uth jayega ye aise v comedy krte h
@manojpatel272,after vid watch `````` main desh ke baare main soch ne laga behki behki baate karne laga ```` baad main mere dost ne bataya maal bahut hevy maaar liya hai tune
@studentscorner7599,Awesome job 😂😂
@mrbanker8283,Waah ravi bhai ….what a superb talent u have ..amazing presence of words …neat and clean comedy 🎉🎉
@beingprem007,"😂😂❤ GREAT JOB SIR.. 😊
New Subscriber.. ❤"
@mandarlakhan166,Superb 😂
@nishantdubey6605,"This is a great standup comedy with discipline and natural fun😅
       Thanks ravi👍💐"
@884sameer,Love the way u talk. 😅
@rahulshekharpandey,One of the best 😂😂😂
@abhinay-pz6ww,This 20 minutes meri life ke ek beautiful parts me se 1 hai
@SUBHASHKUMAR-pc3lb,"😂राजू श्रीवास्तव के बाद पहली बार इतनी अच्छी stand up comedy देखा, बहुत हसी आई
😂😂😂
❤❤❤"
@dhruv8670,😅😅😅🎉🎉👍🏻👍🏻👍🏻
@iktiar,"I was depressed.. found your video ..
Your effortless and simple jokes made my day :)"
@sidsharmarahul8939,😁😁😁Mja hi agya
@RiteshKumar-ex2yb,Superb 🎉
@goku-kakarot-89,Are Arijit Singh stand-up comedy bhi karta hai 😂
@yoginiblog5360,Pure comedy 😂😂
@komalpalariya677,Dehradun maii nhii hi show 😪😪😪😪😪😪😪😪😪😪😪
@komalpalariya677,Perfect ❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉
@Utopiaakaa,Maggie point +suicide point - Nainital
@vipinmaurya2366,😅😅😅10me 10 number  maza aa gya
@akankshaaverma5680,"But I searched for kawwali 😅 
Btw it's really good"
@Shree4you,एक्सलेन्ट
@lcm9906,रवि भाई बोलने का तरीका ओशो जैसा हो गया है
@sreenivassungadi4991,"Best stand up comedy ( Hindi), I have ever watched.. Thanks"
@Christiano_ronalado,"Kya video banate ho bhai❤❤❤❤din me 10 bar dekh Raha hu phir bhi man nahi bhar raha😂, aur video chahiye jara jaldi jaldi daliye Bhai ❤❤❤❤❤"
@traveling998,"Jitna bola ak m bhi hasi nhi aayi,pta nhi ye chutiyon ko etti hasi ku aa rhi h"
@dikshapatanwar8646,Superb 😂😂😂😂
@shriyashmangaonkar8542,"Kya Ka ""MaaL"" video tha bhai ❤"
@salmanMAmalik,Ravi sir aapko. Nariman. Point pe ek mohtarma ke saath dekha gaya hai
@TheSambita20,"The day i am not stressed i am listening to you , the day i am stressed i am definitely listening to you"
@piyush3255,Badhiyaaaa😂😂😂😂
@piyush3255,😂😂😂😂😂😂😂😂
@piyush3255,😂😂😂😂😂😂😂😂😂
@AjayVerma-ze1ix,Jabardast 🎉
@udaypurohit2676,He preety seems like Arijit Singh. Dosen't He
@kousikjana5769,YouTube walo sabko a video dekhnahi padega. Koi option Nehi hey.
@mayankojha878,🎉🎉🎉🎉
@dolmalhamo1123,😮😮😮😮
@anirbanchakraborty3889,Bina gali ke bohothi sander laga❤
@arham1750,Marega bhai😂😂😂😂😂😂
@devendrapratapsingh7304,"Bhaiya hamri bhainsiya hai, mast maal taiyar karti hai..  Dhanywaad aapki wajah se aaj ham dealer ban gayein hain.. ab hamre bhainsiya kaa gober kharidne log door door se aa rhe"
@SAURAV_08,"you're amazing 

specially your shorts with hilarious commentary❤"
@RashidButt-p7m,kamaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaal jani love ho gaya
@Aradhana11621,Kya baat h bro superb ❤
@hiteshpatil51,❤❤❤❤❤❤
@explorewithgauravdass8417,Gajab ho Ravi bhai
@rakeshkodgule6261,Tum bahot accha kaam karta hai
@rakshak_pednekar6019,Huge fan 🌹
@ulhasramdasi001,Great comedian ❤
@vijaynarsapur147,Brilliant
@Meena1331-e2j,Wa bhai wa😂😂😂
@Princess-jf6rr,Aap ka sunu Or haso na aisa ho hi nahi sakta.. Mai kha rahi thi haste haste mujhe sarak gaya 😂😂😂😂😂😂
@anishkhanx1,Best ravi bhai
@mimarete,😂❤
@minakshichandel769,😂😂😂😂
@DigvijaySingh-jn6vq,15 saal se you tube chala rha hu 15 hi subscribe kre honge aap bhi unme se ek hai bahut shandar gupta ji
@richatripathi4784,I am big fan of yours 😊😊
@koushikigupta1544,"Ravi Gupta ❌️
Arjit Singh LTE ✅️"
@itsyourartchanel,epic...amazing ...loved it
@prakashpratik2867,"I can relate with your each and every jokes, great bro...the way you express the scenario and delivery timing is simply awesome."
@NirjanBiswas-t6y,Appreciate his jokes. ❤
@rozichauhan8660,pura din exam ka stress tha soch rahi thi kya dekhu fir socha apka vedio dekh leti hu itna funny tha haste hste mete pet mei or jaws mei drd ho gya dekhte hi dekhte apko vedio pta nai kab khatm ho gya thank uuuuuu sooooo much itni original comedy krne k lie😊😊😊😊😂😂😎😎😎😎😎
@kumarrk9317,Supppbbbb ......👏❤️🔥
@pankajshupta5099,Very nice man ... Last 3 min is awesome..
@nayanchopada,Arijit sing stand up karne lag gaye.
@sunildwivedi9839,❤❤❤❤
@funnypolitics5445,मजा आ गया भाई
@lalitsharma2864,Asli comedian wo hai jo khud pe joke maar sake….what observation you’ve got Ravi bhai…god bless you!!
@anukhan4243,😂😂😂🎉
@docsneha3182,I have seen 50 times now😂
@nidhibhattacharya8647,Bhai you are just❤❤❤
@Selflove1203,Amazing😅😅😂
@pradeeplooks,बहोत ही भंड लगा ये व्हिडीओ😅😅
@02abhirupmukherjee31,Awsome comedy
@healer2103,Depressed Arijit Singh 😂😂😂
@akashkawale2088,What a show 😂😂😂 awesome
@Mohhit05,😅 kanpur me hai hi nhi show
@ritika_271,Ye video mene mummy ko dikhai unhe samaj hi nhi aaya 😅😂 vo hasi hi nhi
@paragwasnik3465,तु सर्वोत्तम आहेस भावा. Thankyou. खुप दिवसांनी इतका दिलखुलास हसलो मी.
@roshanmishra8453,Abb lgta hai tum real life me aa gye ho
@arunsangeliya7802,Fabulous bro 👌👌😂😂
@maheshrajput4529,Apaka best
@Suyog52,"ये होते जोक ,असली टैलेंट"
@01_adarshgupta80,Bhai ki hansi😂😂😂
@salmansayyed-uc2ej,Amazing 😂😂
@alphabeast9311,Love ur humor brother 😂😂
@kiransantosiniray,😂😂😂
@PrakashSR-ok2jp,Supar
@sameerjaiswal5807,Ravi bhaiya aapka video mast hai 😅😂❤
@sunilchoudhary2738,Awesome bro 👍🏼🤣🤣🤣
@KoKyawMinfx,❤❤❤
@kadenglakpa8062,Alan from the Hangover energy 😂
@kritibhansali5944,😂😂😂
@RajnishKumar-gx3kb,😂😂😂😂
@jharanasahu1397,Ek nano second v bore nehi Hui me
@vickyaryan251,Mast hai
@eaishwaryasawale4779,U r superb Ravi❤
@chauhan148,German bakery wale Germany wapas kyu nahi ja rahe😂
@jeetumaurya-vj1ee,Well done my little champ ❤❤❤❤❤❤
@FittonityStudio,10 baar dekha
@hiirush,Lag chuki hai😂😂😂
@seemasfooddiaries7839,Awesome
@consolelog21,Real Stand-up Comedy
@kutusmalakar3749,Aisa stand up comedy ka doses har kisi ko mile 😂😂😂😂
@Singhgurman0095,Luv u gourav bhai
@RAJKTHEGREAT9,"I didn't expected ki arijit singh sirf emotional nahi hasa bhi lelete hai, big fan arijit sir ❤"
@sonivishwa419,बहुत मज़ा आता है आपका वीडियो देखकर
@sunalighoghari,Everyone should watch this 😂😂😂
@Ashu-077,"Bhai yaar gjb 😅
❤❤"
@Shayankhanzia,"Fvrt 🥰
Love from Pakistan 💞💞"
@manishaapanwarr,When arijit singh become comedian😂
@anuragsinghspn,Solo 16:04
@sameerkumar-bz4uu,Ati sundar video 😊
@mobmoodofbharat9077,Love u brother.. i never like stand up bit always listrn because of ur real humour and especially No Vulgarity..
@Hanuman_trader_waayu_treading,bhai mujhe bhi ek video banana hai is stage par please help me is stage tak kaise pohochu batado bhai meri help karo
@rhinocrash9624,😂😂 super
@ankurrao2093,Bhai sab chod starting ka gana konsa hai bata😂
@digyo1,Seriously the way you present yourself is unique.
@urvashi45,Just become your new fan❤
@vijaypalsinghsongara9922,12:55 😂😂
@PankajKumar-ys7kv,Ravi sir mujhe bhi office say nikal diya tention bahut hoti hai . but jub app ki video dekh leta hu 24 ours bhi pta nhi chalta kub spend ho gye
@yogipawar1269,Hilarious 😂😂 Keep it up...
@PankajKumar-ys7kv,Superb comedy 👍
@Aunkun-c2x,Dudh e faat ja raha Hain bar bar......😅😅
@pawan614,Great comedy without Gali Galoch
@SyedAsifAli-p2j,bhai aapke saare videos bohat  interesting comedy hoti hai really bohat ache lagte hai bus aise hi hasaate rahiye...luv your dialogues delivery.👏👏
@ganeshpardeshi2604,Jabardast bhai😂
@RoshanSingh-pn1bl,Maja aa gaya bhai aapki mene ye pheli video dekhi hai
@HimanshuYadav-rd1cu,Arijit singh in stand up comedy
@rajanbedi5036,Keep it up
@rajanbedi5036,Must watch
@kainatpathan6394,Instagram py videos dekh dekh kr nhi reha gya agai hu full episode dekhny😂😂😂😂
@uglynerd9436,yaar Arjit singh koh paiso ki ittni kami hai usko standup karna part raha hai 😢
@anilmahariya3419,"Brilliant,
Alag hi level h Bhai ka"
@Ashishbhau777,Only stand up comedian in India.❤
@asheeshsemwal9711,Ek number 😂😂
@sanjanavishnoi76,Superb
@Dora-Dabbu.,"Mene kayi comedian ko dekha but apke punches sabse ache he ..
You are helping me to come over from my depression"
@deepakaryaguide,Realy Great 😊
@abhishekranga6082,O baai😂😂😂😂
@munnamahtothepoet5570,"Bhai isme toh Hindi Devi Devtaon ka majak udaya nhi gaya tu famous kanha se hoga...!
Comedy=Disrespect of Hindi Devi - Devta= Famous.
Yahi equation toh chal rha hai aaj kal."
@anshulsao8942,behtreen
@narottamsuryawanshi8086,Pure comedy. Good Writer👌
@daleepsharma9552,😂😂😂😂❤😂
@niranjanipandey9325,"LoVelyy
Kv maine kai coment nhi kkia 
But March ka month h office ka bahot pressure h
Ye standup comedy dekh mai bahot hasi😂😂 aaj
Thankyu Ravi Gupta jee
Aap hmesha muskurate rhi 
Ye wish karti hu mai dill se. ❤❤❤❤"
@csradheshyam,*shakha osho krke hain ek bhai ji YouTube per aap unki tarh lagte bhi ho aur style bhi wahi hai*  😊
@densitydestiny4178,Ye to Arijit Singh lag rhe hai😮
@Sam71236,Great video and shorts that u r making always make me laugh❤.
@Rashmikumari-se8vf,That lady laughter 😂
@chad._life,That intro song hit heart
@kishorsharma3477,Comedian Arijit Singh😂😅
@zindagihatke,"Baaki comedian to vulgur lang, gaali, roasting etc kerte hain.. per aapka pure content hai or yahi hai your reason of success . Hamesha aise hi rahne.. family content"
@zindagihatke,Aapke uper ye hairstyle suit ker raha hai..pehle se jyada better hai.
@zindagihatke,Aaj tak koi comedian mujhe pasand nahi aaya.. aaj pehli bar laga ki comedy naam ki koi cheez hai india main . Main to bas big fan ho gyi hu.. itna aaj tak kisi ne hasaya nahi or nahi khush kiya.. tussi great ho . Aapko to filmo main jaam kerna chaiye.. koi bhi comedian hasa nahi paya filmon main.. there is huge gap there. Love you❤
@Sahil-ss3ej,Superhit bhyiiiii 😂😂😂
@ashfaquehossain8592,❤❤❤
@manojprajapati167,clean comedy
@Nikhil-hp8ct,😂😂😂
@rachitasingh8061,❤❤❤
@ankursrivastava7131,bhai ek sutiya hai Varun Grover use bhi thoda standup ke sath comedy sikha do.. bas stand up ho leta hai fir Ravish ban jata.
@poonamsharma7130,Gobar weed 😂😂😂😂😂😂😂 love this man ❤❤❤
@navedshaikh4822,Bhut hard bhai 😂😂😂😂😂😂😂
@abubakarahmad4836,Bahot achcha thee Bhai ....
@uandimakewe,साथियों इस बार वोट सिर्फ देश और संविधान बचाने के लिए करना है। याद रहे। 😊
@lovekumar6318,Hasna tha?
@fayzuvlog.07,Bhai Arijit singh lag rahe ho 😂
@TheKapilSharmaVlogs,maja aa gaya bhencho
@akshatsgaikwad2616,Bhaiya ka attitude nahi atti toodey hai
@umesh3077,Me fb pe tab se fan hu jab hundreds me views aate the aur aap political satire karte the.u have achieved very big milestone and looks like close friend has achieved this
@foodlover2656,Arijit Singh 😊😊😊
@anjalibhatnagar9067,Amazing
@selfbeeliver,Gazab 😂😂
@amitbhati6922,Something different but great wala different...👌👌👌
@bhaveshrohit4299,"Pure comedy, what a talented man ❤"
@manishayadav8825,Loved every joke 😂
@manishayadav8825,Loved every joke 😂
@AarinVerma,@5:53
@TeenaSamantnani,😂😂🙌🙌
@melodytuneproduction,Aray bhai assam v aao na plzzzzzz tezpur
@ghumakkadmasum1508,Ravi भइया छह दिन में आपका बहुत बड़ा फैन हो गया हुं इंस्टाग्राम से ढूंढते ढूंढते यू ट्यूब पर आ गया हुं क्या ही सुपर परफार्मेंस है आपकी हमारे बरेली से आपका शो कौन सा नजदीक पड़ेगा बो भी बता देना 🙏🙏
@elvinfoodNtravel,Much better than Kapil Sharma shows though. This is called a true comedy 👍👍👍👍✌️🤘🤘🤘
@Raj12484,Attitude to h kyu ke bahut kamm video uploaded h 😅
@naman.mahajan,Didn't expected arjit singh to be this good in stand up comedy. Now arjit bhai is all set to eat people career in comedy as well after singing.
@bhawnabhardia459,😂😂
@banuorose773,This guy makes me actually really laugh 😂😂😂
@tipsonmn1855,Bahur la jawab comedy Kiya hai Bhai ne ❤
@nirmalyamisra,"chai joke was too good,"
@nirmalyamisra,"you are awesome, laughed a lot"
@expatingermany,An average comedian mocking self
@namratashrivastava1365,Plz make videos frequently...love your work.... I really had a laughter show with you 😂😂...bhuri was best....
@Mahadev_ka_bhakt627,Bhai ji gjb.❤
@PionyGupta,Behatarin 😅
@VinodPohekar-g5d,Has has ke lotpot ho gya bhai
@dev_k_poriya1999,Ravi bhai You are exactly look like a Gujarati film actor MALHAR THAKAR ❤
@pritamlahiri2623,"Tu kon...
Bullaki jana be kaun..

This line 🤣🤣🤣🤣🤣🤣🤣
Bhai tu chup ho jaa🤣🤣🤣🤣"
@bikashanayak7304,Saaf suthri comedy ke baap hai Ravi babu... bahot hii maza aaya...
@chivasgoodlife,"No abusive words, no vulgarity....bekar bilkul maza nahi aya 😂"
@Kahaniyan143-sv2cd,Ur the medicine bhaya .....keep it up ❤❤❤
@siddharthbagdas1973,Bro u rocked... Arijit Singh of comedy..
@growwithharsh_,❤❤pure comedy fantastic 🎉🎉
@factsbyradio,Bhai aaj stand comedy Dekhkar sach mein Hansa hun😂😂
@hritik02,Your voice is similar to PANKAJ TRIPATHI sir
@Afeefkalsekar,Bhai aapke liye narak me alag se tel garam ho rha h
@jayeshsaroj3944,Best ❤
@kwebnovel9967,"Saw clean comedy after decades no double meaning jokes,please keep it like that ,make it your signature,be different from others,may u have all the success."
@hiteshwaghela4230,Ravi bhai 🙏😂😂😂😂😂😂😂😂😂😂
@vivekvishwakarma6520,Kitna bhi tensan me hota hu sir aapki video dekh ke  dur ho jati hai dhanyawad sir ji
@ansarinadeem,😊
@rawdefender8340,Abhi tk ki best video ✌️
@ftrhf,Itna hasa hu kya batau
@SURAJKUMAR-nz1uv,Superb video
@kanchandarro5671,I want that intro song😂
@adarshkumar-rb4iw,Mzee 😂😂
@AganlumTowangJack-eq9yf,Mee
@navgireamol,Arijit Singh kab se stand up comedy karne laga bhai 🫣🤔
@SaurabhSingh-en3iv,ak no bhai
@MahiSingh-jz8jj,anubhav bhaiya aur aap sama bandh dete ho🎉🎉🎉🎉🎉  bahut mja aaya to be continue.........
@1eyesfan,Good Jod sir
@AnupamaTalan,Very Nice😂😂😂😂
@BruceWayne-rt3bz,Arjit singh doing comedy
@shreeomkarsugandhalaya,"Bhai 4 ghante ki video banao , ek baar bhi bor nahi hue mast comedy, pahli baar aapka channel dekha fan ho gaya main aapka❤❤❤❤❤❤❤❤"
@Sanatani8573,Guptaji ka video chor na jana 😂
@rjrasoi5142,jab tak video chali meri hasi nahi ruki aap ka jawaab nahi ravi
@jagratbhasin618,Did I just watched arjit singh?
@atharsayed6836,bhai list me Aurangabad kyu nhi hai???
@Abhishek_6638,Scooty goa ka rashtriya vahan haii 🤣goa kbb se alag desh ban gya 😂😂
@ashwinikumar1042,Superb bro
@listenbible7611,I didn't know that Arijit Singh also does stand up comedy
@SoulmateWorldover,Supercool jokes bro👍
@ritikkumargg304,Mere kooley jam ho ja rhe hai was good joke to me ❤❤😂😂 12:49
@karankumar-eo3zg,Bhai you are just 🔥
@adsidbob,Modi ji ne joo desh ki halat ki hai uspee bol dete bhai thoda
@nyoducaali,"Big fan of you Sir. 
❤ from Arunachal Pradesh.."
@bhavi44228,😂😂
@ShobhitChourasia,every sec was hilarious.
@UniqueAssymetry,"Absolutely loved it,man! From Bangladesh"
@SuperAnnagaming,Ye bakchodi sunke mujhe laga me bhund …jab ki me tha bhi nahi 😂😂
@AkramReza-z8c,Great Performance 😂😂😂
@AmanAahil143,Yr Arijit Singh ❤
@HimanshuSharma-bh7ii,Noida mei kb hoga show
@RohitKumar-rq6cu,So good ❤
@waqasali-mp5qc,Hey there! I am a big fan of your delivery style. I have watched your video around 15 times. Keep up the good work! lot of love from Karachi Pakistan.
@sameerkhan-kl2ue,Arjit sing stand up comedy bhi krne lga
@Uk_dancer2607,Sir maza aa gya hai
@ghanimirza,"Great job, love from Lahore, Pakistan."
@navneetkumar1666,Jabardastt....   😂😂😂😂🎉🎉🎉
@pareshphadte636,😂thank u  for this video ❤😂😂😂😂
@Kota705,❤❤❤❤
@AbhisekhPaswan-ys8hm,Nice video sir ji
@pawanpandey1709,You can only make me laugh apart from Abhimanyu .. Hats off .. you are the best !!
@TheAnugupta,Now this is a standup which I can watch with family 😂😂love it
@anandsuraj26,It was mind blowing 😂😂😂mera haste haste pet drd krne lga
@88Amitsaha,Jahar vai💥💥💥
@ag0111,Video bht hi aachi lagi.......🙏🎊👍
@masumashaikh8132,why he looks like malhar thakkar.. the famous gujju actor
@jayantakumarsahujojo4377,superb 😂
@AK-rc8cc,"You are great bhai. Aise hi logo ko hasate raho and keep growing....💗💗💗💗

Really love your content"
@eapenajimon2673,Bhai toh stand up ka Arjith Singh nikla😂
@pukkiediting2816,Bhai bhn wale reels se. Kon kon aya hai 😅😂
@amitthakur3428,Badiya
@MrMukul-nv7wv,Mai jb tension me hota hu to Mai apki video dekh leta hu ..😂 ek dam mst ho jata hu ...❤❤
@myheartpoint,Mat bithao bus mein or aap airoplane ki baat kr rhe the😮
@arindamghosh165,One of the most hilarious show I have ever seen. Ravi rocks 🤘🏼
@Artloverridee,"Ravi bhai

Bahut mast...I bet... aap abhi bahut aage jaoge
.. aur bahut Jada famous Hoge.."
@nazneentonse6768,"That was fun! Came across by chance, and my Hindi is really bad, but I managed to follow and there were some great lines in there!"
@craftyminds7081,"Hi Ravi
Plan your show in Lucknow"
@lightspeed29,Ravi bhai aap boht mast bande ho yaar 😂😂😂
